Project Code,Title,Commitment in U.A,Country,Starting Date,Status,Source of Financing,Sector,Sovereign
P-CI-GB0-005,Côte d'Ivoire - E-Government Strengthening Support Project (PARAE),61267001.59,Côte d'Ivoire,2023-07-05,Approved,African Development Bank,Communications,Sovereign
P-Z1-GB0-036,"Multinational - Horn of Africa Digital Market Integration (HDMI) Project, Phase 1",6150000.0,Multinational,2022-12-13,Implementation,African Development Fund,Communications,Sovereign
P-SN-G00-004,Senegal - Digital Technology Park - Additional Financing,4085560.28,Senegal,2022-12-08,Approved,African Development Bank,Communications,Sovereign
P-CV-GB0-004,Cabo Verde - Technology Park (CVTP) Phase II,11333004.14,Cape Verde,2022-11-02,Implementation,African Development Bank,Communications,Sovereign
P-Z1-GB0-035,Multinational - Upstream project for digital market development in Africa (UP4DMDA) – Phase 1,7000000.0,Multinational,2022-09-15,Implementation,,Communications,Sovereign
P-GQ-G00-002,Equatorial Guinea - Feasibility study project for the support to the strengthening of the digital ecosystem (PARED),450000.0,Equatorial Guinea,2022-05-17,Approved,Middle Income Countries Fund,Communications,Sovereign
P-Z1-GB0-037,Multinational - Assistance to the COMESA to conduct a market analysis on a regional cloud ecosystem - Phase I,415533.39,Multinational,2022-03-14,Approved,NEPAD Infrastructure Project Preparation Facility,Communications,Sovereign
P-Z1-G00-018,Multinational - Institutional Support for Digital Payments and e-Commerce Policies for Cross-Border Trade (IDECT),1145197.0,Multinational,2021-12-14,Implementation,African Development Fund,Communications,Sovereign
P-CD-GB0-003,Democratic Republic of Congo - Project to support the preparation of the Democratic Republic of Congo (DRC) component of the Central Africa Fiber Optic Corridor (CAB),743881.57,"Congo, the Democratic Republic of the",2021-12-06,Implementation,NEPAD Infrastructure Project Preparation Facility,Communications,Sovereign
P-LS-GB0-003,Lesotho - eGovernment Infrastructure Phase II,10180000.0,Lesotho,2019-10-17,Implementation,,Communications,Sovereign
P-Z1-GB0-033,Chad - Trans-Saharan fiber optic backbone project (DTS) Chad component,23400225.04,Multinational,2019-04-17,Implementation,European Union's Africa Investment Platform,Communications,Sovereign
P-RW-G00-001,Rwanda - Rwanda Innovation Fund,22360192.89,Rwanda,2018-03-07,Implementation,,Communications,Sovereign
P-Z1-GZ0-001,Multinational -  Feasibility study for Gabon-ICT backbone project,636018.75,Multinational,2017-12-29,Completion,NEPAD Infrastructure Project Preparation Facility,Communications,Sovereign
P-CF-GB0-002,Central African Republic - Central Africa Fibre-Optic Backbone Project (CAB) – CAR Component,27108239.87,Central African Republic,2017-12-15,Completion,African Development Fund,Communications,Sovereign
P-TN-G00-003,Tunisia - Support Project for the Implementation of the “Digital Tunisia 2020” National Strategic Plan,58575076.94,Tunisia,2017-11-08,Implementation,African Development Bank,Communications,Sovereign
P-Z1-GB0-024,Multinational - Trans-Sahara Optical Fibre Backbone Project,34818000.0,Multinational,2016-12-09,Implementation,,Communications,Sovereign
P-Z1-GB0-030,Multinational - Lake Victoria Maritime Communications and Transport Project,10210000.0,Multinational,2016-10-24,Implementation,,Communications,Sovereign
P-Z1-GB0-031,Multinational - Lake Victoria Maritime Communications and Transport Project,14276.77,Multinational,2016-10-24,Completion,,Communications,Sovereign
P-Z1-GB0-021,Multinational - Lake Victoria Maritime Communications and Transport Project,3770000.0,Multinational,2016-10-24,Implementation,,Communications,Sovereign
,,,,,,,,
P-Z1-G00-015,Multinational - 50 Million African Women Speak Networking Platform Project,2500000.0,Multinational,2016-07-15,Completion,African Development Fund,Communications,Sovereign
P-Z1-G00-016,Multinational - 50 Million African Women Speak Networking Platform Project,2314000.0,Multinational,2016-07-15,Completion,African Development Fund,Communications,Sovereign
P-Z1-G00-014,Multinational - 50 Million African Women Speak Networking Platform Project,3820000.0,Multinational,2016-07-15,Completion,African Development Fund,Communications,Sovereign
P-CG-GB0-002,Congo - Central Africa Backbone (CAB) Project - Congo Component,42597897.98,Congo,2016-05-18,Implementation,African Development Bank,Communications,Sovereign
P-Z1-GB0-028,Multinational - Other 3 Billion (O3B) Africa Limited Supplementary Loan,7684125.18,Multinational,2015-11-27,Cancelled,African Development Bank,Communications,Non Sovereign
P-SN-G00-001,Senegal - Digital Technology Park Project,49898500.43,Senegal,2015-10-21,Implementation,,Communications,Sovereign
P-CM-GB0-002,Cameroon - Central Africa Optical Fibre Backbone Project - Cameroon Component,30535000.98,Cameroon,2015-07-09,Completion,,Communications,Sovereign
P-SC-GB0-003,Seychelles – Development of Quality of Service Standards and Regulations for the Broadcasting and Telecommunications Sector in Seychelles and provide capacity building for the regulatory staff of the Department of Information Communications Technology,102000.0,Seychelles,2014-11-03,Completion,,Communications,Sovereign
P-ZA-G00-002,South Africa - BroadBand Infraco Grant request,798000.0,South Africa,2014-02-21,Completion,,Communications,Sovereign
P-DZ-G00-002,Algeria - Reframing of the e-Algeria strategy and elaboration of the e-governance implementation approach,798652.0,Algeria,2014-02-10,Completion,,Communications,Sovereign
P-LS-G00-001,Lesotho - eGovernment Infrastructure Project,7454793.28,Lesotho,2013-10-21,Completion,,Communications,Sovereign
P-CV-G00-002,Cape Verde - Technology Park Project,25857651.28,Cape Verde,2013-07-24,Implementation,,Communications,Sovereign
P-Z1-GC0-002,Navigation Satellite (Navisat) Project,1078058.63,Multinational,2013-03-04,Cancelled,NEPAD Infrastructure Project Preparation Facility,Communications,Sovereign
P-TN-G00-001,Tunisia - Project to support the implementation of e-government and open government in Tunisia,467711.99,Tunisia,2012-12-20,Cancelled,Middle Income Countries Fund,Communications,Sovereign
P-SC-GB0-002,Seychelles - Seychelles Submarine Cable Project,5880369.76,Seychelles,2011-04-27,Completion,African Development Bank,Communications,Non Sovereign
P-Z1-GB0-014,Multinational - O3B Satellite Project,17910747.16,Multinational,2010-10-06,Completion,African Development Bank,Communications,Non Sovereign
P-CV-G00-001,Data Center Project,297188.0,Cape Verde,2010-07-28,Completion,Middle Income Countries Fund,Communications,Sovereign
P-NG-GB0-004,Nigeria - The Helios Shared Telecom Infrastructure Project,15875097.49,Nigeria,2009-09-02,Completion,African Development Bank,Communications,Non Sovereign
P-DZ-G00-001,Algeria - Technical Assistance Project for the Modernization of the Communication and Collaboration System of the Ministry of Finance (MoF),496500.0,Algeria,2009-08-04,Completion,,Communications,Sovereign
P-Z1-GB0-010,"Multinational - Main One Cable System Project – Phase I (the ""Main Facility"") ",35852106.8,Multinational,2009-05-27,Completion,African Development Bank,Communications,Non Sovereign
,,,,,,,,
P-EG-GC0-001,Egypt - The Launching of a Geostationary Satellite Project - NAVISAT,600000.0,Egypt,2009-05-20,Completion,,Communications,Sovereign
P-Z1-GB0-011,Multinational - The New Dawn Satellite Project,13102315.39,Multinational,2009-03-11,Completion,African Development Bank,Communications,Non Sovereign
P-SC-GB0-001,Seychelles - East Africa submarine cable link project,271601.23,Seychelles,2009-02-18,Completion,Middle Income Countries Fund,Communications,Sovereign
P-Z1-GB0-008,Multinational - East African Submarine Cable System (EASSY) Special Purpose Vehicle (SPV) Project,10786042.12,Multinational,2007-09-12,Completion,African Development Bank,Communications,Non Sovereign
P-Z1-GB0-009,Multinational - Legal Advisory Services for East Africa Submarine Cable System (Eassy) Project,92373.19,Multinational,2007-05-31,Completion,Fund for African Private Sector Assistance,Communications,Sovereign
P-DZ-GB0-002,Algeria - Telecommunications Sector Upgrading and Support Project,2551951.77,Algeria,2002-07-03,Cancelled,,Communications,Sovereign
P-MA-GB0-003,DEVELOPPEMENT DES INFRASTRUCTURES DES TELECOMUNICATIONS,70126227.21,Morocco,2001-04-04,Completion,African Development Bank,Communications,Sovereign
P-MA-GB0-002,"Morocco - Post, Telecommunications and Information Technologies Sector Adjustment Programme (PASPT&I)",77656175.64,Morocco,1998-12-09,Completion,African Development Bank,Communications,Sovereign
P-MA-GB0-001,Telecommunications Development project,13591758.08,Morocco,1993-12-14,Completion,,Communications,Sovereign
P-Z1-GB0-002,Multinational - PTA Telecommunications Network Inter-connectivity and Tariff Study,658242.63,Multinational,1993-09-01,Completion,African Development Fund,Communications,Sovereign
P-MZ-GB0-004,Telecom. Network Feas. Study,378716.33,Mozambique,1993-06-02,Completion,,Communications,Sovereign
P-SZ-GB0-004,Telecommunications Master Plan Study,377020.62,Eswatini,1993-05-10,Completion,,Communications,Sovereign
P-ZW-GB0-002,Zimbabwe - Telecommunication II,26378370.12,Zimbabwe,1993-05-06,Completion,,Communications,Sovereign
P-ET-GB0-002,Ethiopia - Telecommunications II Project,30082680.59,Ethiopia,1992-12-01,Completion,African Development Bank,Communications,Sovereign
P-TZ-GB0-002,Tanzania - Telecommunications II Project,28122917.06,"Tanzania, United Republic of",1992-06-24,Completion,,Communications,Sovereign
P-MZ-GB0-003,Institutional Support to Tdm,1787880.26,Mozambique,1991-08-27,Completion,,Communications,Sovereign
P-MW-GB0-002,Malawi - Telecommunications II project,26052877.73,Malawi,1991-05-21,Completion,,Communications,Sovereign
P-BJ-GB0-003,DEVELOP. DE L'ENSEIGNEMENT TECH. - PROFE,9808442.61,Benin,1990-08-29,Completion,,Communications,Sovereign
P-AO-GB0-001,Angola - Telecommunication II,616709.14,Angola,1990-06-12,Completion,,Communications,Sovereign
P-BJ-GB0-001,Communications development project,13142743.39,Benin,1990-04-18,Completion,,Communications,Sovereign
,,,,,,,,
P-TD-GB0-001,"Chad - Institutional Support to the ""Office National des Postes et Télécommunications (ONPT)""",2135410.39,Chad,1990-02-15,Completion,,Communications,Sovereign
P-TG-GB0-001,PROJ. DEV. TELECOMMUNICATIONS,4590642.63,Togo,1990-01-16,Completion,,Communications,Sovereign
P-ZR-GB0-002,RESTRUCT. ONPTZ & REHAB. RESEAU TELECOM.,60120000.0,Ex Zaire,1990-01-16,Cancelled,,Communications,Sovereign
P-Z1-GB0-005,Project Rascom,3082262.86,Multinational,1988-09-20,Completion,,Communications,Sovereign
P-SO-GB0-001,"Telecommunication project (PANAFTEL), phase 1",955450.05,Somalia,1987-12-14,Cancelled,,Communications,Sovereign
P-BJ-GB0-002,National telecommunications network maintenance improvement plan,10636395.94,Benin,1987-10-26,Completion,,Communications,Sovereign
P-RW-GB0-001,PROJET DE TELECOMMUNICATION DE L'OBK,1543535.29,Rwanda,1986-12-22,Completion,,Communications,Sovereign
P-TZ-GB0-001,Telecommunications - I Project,3446452.67,"Tanzania, United Republic of",1986-12-22,Completion,,Communications,Sovereign
P-Z1-GB0-003,K.B.O. Regional Telecom. Project,4704739.63,Multinational,1986-12-22,Completion,African Development Fund,Communications,Sovereign
P-Z1-GB0-004,Projet Regional Telecommunications O.B.K,713223.82,Multinational,1986-12-22,Completion,African Development Fund,Communications,Sovereign
P-TD-GB0-002,Chad - Telecommunications Infrastructure Rehabilitation Project,14273672.32,Chad,1986-12-18,Completion,,Communications,Sovereign
P-SN-GB0-001,PLAN NAT.D'AMELIORA.MAINTEN.RESEAU TELEC,6740325.8,Senegal,1986-08-26,Completion,African Development Bank,Communications,Sovereign
P-ZR-GB0-001,ETUDE RESTRU.ONPTC & REHAB. RESEAU TELEC,774915.01,Ex Zaire,1986-04-16,Cancelled,,Communications,Sovereign
P-CV-GB0-003,Projet d'extension et de modernisation des réseaux de télecommunications supplémentaire,1241796.45,Cape Verde,1986-02-24,Cancelled,,Communications,Sovereign
P-ZM-GB0-002,Telecommunication-II (ADB),33461387.02,Zambia,1985-12-10,Completion,,Communications,Sovereign
P-ST-GB0-001,TELECOMMUNICATIONS,1835246.8,Sao Tome and Principe,1984-11-19,Completion,,Communications,Sovereign
P-ET-GB0-001,Telecommunications   I,24009134.87,Ethiopia,1984-06-13,Completion,,Communications,Sovereign
P-MZ-GB0-002,Mozambique - Telecommunications II Project,29467704.73,Mozambique,1984-02-08,Completion,,Communications,Sovereign
P-MW-GB0-001,Malawi Telecommunications I Project,7933197.81,Malawi,1983-11-08,Completion,African Development Bank,Communications,Sovereign
P-AO-GB0-002,Angola - International Telecommunication System Extension Project,17463826.72,Angola,1983-10-18,Completion,,Communications,Sovereign
,,,,,,,,
P-ZW-GB0-001,Telecommunications - I,7000000.0,Zimbabwe,1983-09-27,Completion,,Communications,Sovereign
P-CI-GB0-001,TELECOMMUNICATION PLATEAU III,9999234.83,Côte d'Ivoire,1982-03-16,Completion,African Development Bank,Communications,Sovereign
P-GN-GB0-004,The Guinea - Telecommunications Network Extension and Modernization Project (additional 2),4300498.39,Guinea,1981-12-29,Completion,African Development Bank,Communications,Sovereign
P-CF-GB0-001,SYSTEME TELEPHONIQUE DE BANGUI,8582616.67,Central African Republic,1981-11-29,Completion,,Communications,Sovereign
P-SZ-GB0-003,Telecommunitations III Project (ADB),7740106.0,Eswatini,1981-11-24,Completion,,Communications,Sovereign
P-BW-GB0-002,Telecommunications III (ADB),9800103.36,Botswana,1981-02-27,Completion,African Development Bank,Communications,Sovereign
P-BW-GB0-003,Telecommunication II,4882146.36,Botswana,1980-11-12,Completion,,Communications,Sovereign
P-LS-GB0-001,Telecommunications I Project,7778484.02,Lesotho,1980-01-29,Completion,,Communications,Sovereign
P-Z1-GB0-006,Telecommunications de Liptako-Gourma,33286019.33,Multinational,1978-12-20,Completion,African Development Bank,Communications,Sovereign
P-GA-GB0-002,DEV.TELECOM. A PORT GENTIL & 8 CENTRES,4978856.05,Gabon,1978-09-20,Completion,,Communications,Sovereign
P-GA-GB0-001,EXT. RESEAU TELEPHONIQUE LIBREVILLE,4998277.32,Gabon,1978-06-08,Completion,,Communications,Sovereign
P-MZ-GB0-001,Telecom. I (Maputo/Beira Link) (Ntf),1900000.0,Mozambique,1978-03-24,Completion,,Communications,Sovereign
P-GH-GB0-001,Panaftel Telecommunications Project,4909447.41,Ghana,1977-10-21,Completion,African Development Bank,Communications,Sovereign
P-CV-GB0-002,Telecommunications,3429485.52,Cape Verde,1977-08-16,Completion,African Development Fund,Communications,Sovereign
P-SZ-GB0-002,Telecommunications II,4921453.2,Eswatini,1976-12-20,Completion,,Communications,Sovereign
P-GN-GB0-003,Guinea - Telecommunications Network Extension and Modernization Project (additional 1),1000000.0,Guinea,1976-03-31,Completion,African Development Bank,Communications,Sovereign
P-CG-GB0-001,INSTALLATION-LIAISON FAISCEAU HERTZIEN (,2399714.67,Congo,1975-12-16,Completion,,Communications,Sovereign
P-GA-GB0-003,CHEMIN DE FER TRANSGABONNAIS,4000000.0,Gabon,1974-09-13,Completion,African Development Bank,Communications,Sovereign
P-ZM-GB0-001,Telecommunications I,4161315.76,Zambia,1974-09-13,Completion,,Communications,Sovereign
P-GN-GB0-002,Guinea - Telecommunications Network Extension and Modernization Project,4000000.0,Guinea,1974-02-20,Completion,African Development Bank,Communications,Sovereign
,,,,,,,,
P-ZR-GB0-003,Ex- Zaïre - Télécommunications,99473.62,Ex Zaire,1973-12-19,Completion,,Communications,Sovereign
P-BW-GB0-001,Botswana - Telecommunication,2155210.9,Botswana,1973-11-06,Completion,,Communications,Sovereign
P-MR-GB0-001,Mauritania - Telecommunications Project,1650000.0,Mauritania,1972-12-14,Completion,African Development Bank,Communications,Sovereign
P-SZ-GB0-001,Swaziland - Telecommunications Project,2200000.0,Eswatini,1972-11-22,Completion,,Communications,Sovereign
P-NE-GB0-001,Niger - Telecommunications projects,1400000.0,Niger,1970-12-17,Completion,African Development Bank,Communications,
